ID,Nome Empresa,Categoria,Bairro,Telefone,Email,Tem Site?,Status Contato,Data Contato,Resposta,Observações,Ticket Estimado,Prioridade
1,Clínica Sorriso Perfeito,Dentista,Pinheiros,11 98765-4321,contato@clinicasorriso.sp,,Não contactado,,,"Pareceu pronta para agendar online",R$ 2500-3500,Alta
2,Odontologia Vila Mariana,Dentista,Vila Mariana,11 97654-3210,,❌,Não contactado,,,"Só tem WhatsApp",R$ 2500-3500,Alta
3,Dr. Gustavo Implantes,Dentista,Zona Leste,11 96543-2109,,❌,Não contactado,,,"Google Maps com 87 reviews",R$ 2500-3500,Alta
4,Consultório Dental São Paulo,Dentista,Centro,11 95432-1098,,❌,Não contactado,,,"Atende convênio",R$ 2500-3500,Alta
5,Dentista Dr. Carlos,Dentista,Zona Leste,11 94321-0987,,❌,Não contactado,,,"Pequeno, 1 profissional",R$ 1500-2000,Média
6,Salão Cabelos & Cia,Salão de Beleza,Vila Mariana,11 99876-5432,cabelos@cia.sp,,Não contactado,,,"Alto padrão, muitos clientes",R$ 2000-3000,Alta
7,Beleza Total Pinheiros,Salão de Beleza,Pinheiros,11 98765-4321,,❌,Não contactado,,,"Só agenda por WhatsApp",R$ 2000-3000,Alta
8,Studio Cabelo Zona Leste,Salão de Beleza,Zona Leste,11 97654-3210,,❌,Não contactado,,,"64 avaliações Google Maps",R$ 2000-3000,Alta
9,Manicure Cristal,Salão de Beleza,Perdizes,11 96543-2109,,❌,Não contactado,,,"Especializado em manicure",R$ 1500-2000,Média
10,Cabeleireiro João Silva,Salão de Beleza,Vila Formosa,11 95432-1098,,❌,Não contactado,,,"Tradicional, 20+ anos",R$ 1500-2000,Média
11,Academia Gold,Academia,Pinheiros,11 99887-6543,contato@academiagold.sp,,Não contactado,,,"Site desatualizado",R$ 3000-4000,Alta
12,Musculação & Força,Academia,Zona Leste,11 98876-5432,,❌,Não contactado,,,"200+ membros, precisa app",R$ 3000-4000,Alta
13,Smart Gym Lapa,Academia,Lapa,11 97765-4321,,❌,Não contactado,,,"Moderno, falta sistema online",R$ 3000-4000,Alta
14,Academia Corpo Perfeito,Academia,Vila Mariana,11 96654-3210,,❌,Não contactado,,,"Muitos clientes querendo virtual",R$ 3000-4000,Alta
15,Personal Training SP,Academia,Consolação,11 95543-2109,,❌,Não contactado,,,"Só online/WhatsApp",R$ 2000-3000,Média
16,Restaurante Bella Italia,Restaurante,Pinheiros,11 99998-8765,contato@bellaitalia.sp,,Não contactado,,,"Popular, falta cardápio online",R$ 2500-3500,Alta
17,Pizzaria Don Giovanni,Restaurante,Zona Leste,11 98887-7654,,❌,Não contactado,,,"Bem avaliado, sem site",R$ 2000-3000,Alta
18,Churrascaria Gaucho,Restaurante,Vila Mariana,11 97776-6543,,❌,Não contactado,,,"Tradicional, muita fila",R$ 3000-4000,Alta
19,Café Aroma Perfeito,Restaurante,Pinheiros,11 96665-5432,,❌,Não contactado,,,"Instagram bom, site ruim",R$ 1500-2500,Média
20,Bar do Silva,Restaurante,Lapa,11 95554-4321,,❌,Não contactado,,,"Noturno, precisa online",R$ 1500-2500,Média
21,Imobiliária Premier,Imobiliária,Pinheiros,11 99909-9876,contato@premierimovel.sp,,Não contactado,,,"10+ imóveis, site básico",R$ 4000-6000,Alta
22,Imóveis São Paulo,Imobiliária,Vila Mariana,11 98898-8765,,❌,Não contactado,,,"Só brochura impressa",R$ 4000-6000,Alta
23,Brokers Imóveis,Imobiliária,Centro,11 97787-7654,,❌,Não contactado,,,"Lotado de clientes",R$ 4000-6000,Alta
24,Real Estate Zona Leste,Imobiliária,Zona Leste,11 96676-6543,,❌,Não contactado,,,"Precisa portal de imóveis",R$ 3000-5000,Média
25,Imóveis Residenciais,Imobiliária,Tatuapé,11 95565-5432,,❌,Não contactado,,,"Família pequena",R$ 2000-3500,Média
26,Clínica Médica Vitória,Clínica Médica,Pinheiros,11 99911-0987,vitoria@clinicavitoria.sp,,Não contactado,,,"Vários especialistas",R$ 3000-4500,Alta
27,Consultório Médico Dr. Rafael,Clínica Médica,Vila Mariana,11 98800-0987,,❌,Não contactado,,,"Bem localizado",R$ 2500-3500,Alta
